Account_No,TRANSACTION_DETAILS,WITHDRAWAL_AMOUNT,DEPOSIT_AMOUNT,BALANCE_AMOUNT,Transaction_Dates
409000425051,BDP IS 6095,,5000.00,1842580.85,2023-09-19
409000611074,INDO GIBL Indiaforensic STL18011,244350.00,,481445.00,2023-06-11
409000611074,INDO GIBL Indiaforensic STL13121,350350.00,,482255.00,2022-04-14
409000493201,BBPS SETTLEMENT 07032017,73209.78,,482308.37,2023-11-09
409000493201,BBPS SETTLEMENT 15052017,171720.19,,482679.23,2023-08-30
409000425051,NEFT/MAHBH16329549188/Mr.,,8000.00,1837580.85,2022-12-11
409000493201,BBPS SETTLEMENT 23052017,75945.44,,486169.77,2023-11-18
409000493201,BBPS SETTLEMENT 16052017,195767.92,,486911.31,2022-08-02
409000425051,NEFT/BKIDN16329563035/VIS,,8000.00,1829580.85,2023-10-16
409000611074,INDO GIBL Indiaforensic STL03011,180300.00,,492273.00,2022-06-14
409000493201,BBPS SETMNT FOR DT 190720,97236.56,,493463.63,2023-07-21
409000611074,INDO GIBL Indiaforensic STL01011,147500.00,,496073.00,2023-10-05
409000493201,BBPS DT 19012019,192484.66,,496543.90,2022-05-03
409000611074,INDO GIBL Indiaforensic STL28121,138150.00,,497222.00,2023-10-19
409000493201,BBPS OX01 SETTLEMENT 20.0,60288.54,,497817.38,2022-12-23
409000425051,NEFT/000017885305/VINITA,,8000.00,1821580.85,2023-06-07
409000425051,BDP IS 6095,,3000.00,1813580.85,2023-10-21
409000611074,INDO GIBL Indiaforensic STL04121,41700.00,,501209.00,2022-09-25
409000493201,BBPS SETMNT FOR DT 130620,54089.18,,501574.90,2023-08-30
409000611074,INDO GIBL Indiaforensic STL19111,40000.00,,501972.00,2023-04-03
409000611074,INDO GIBL Indiaforensic STL02111,369251.00,,504056.00,2022-08-21
409000493201,BBPS DT 21022019,165058.25,,504237.55,2023-08-23
409000425051,BDP IS 6095,,5000.00,1810580.85,2022-04-09
409000493201,BBPS SETMNT FOR DT 070720,39166.52,,505371.05,2023-09-09
409000611074,INDO GIBL Indiaforensic STL23111,74799.00,,505822.00,2023-10-29
409000493201,BBPS SETMNT FOR DT 200620,155678.63,,505860.55,2023-08-16
409000425051,NEFT/SBIN316329788979/M S,,8000.00,1805580.85,2022-08-24
409000611074,INDO GIBL Indiaforensic STL05071,431899.00,,509219.00,2023-12-26
409000493201,BBPS DT 27012019,70743.08,,511014.62,2023-03-31
409000493201,BBPS SETMNT FOR DT 141220,182323.36,,511844.08,2023-05-14
409000493201,BBPS DT 29012019,356676.85,,513671.36,2023-06-28
409000493201,BBPS DT 19022019,181484.83,,514498.22,2023-08-24
409000425051,NEFT/SBIN316329804113/Mr,,8000.00,1797580.85,2022-03-01
409000493201,BBPS SETTLEMENT 20052017,97156.51,,518904.25,2023-01-23
409000493201,BBPS DT 17012019,126215.90,,519820.27,2023-04-01
409000493201,BBPS SETTLEMENT 21032017,183235.55,,520595.60,2023-07-18
409000493201,BBPS DT 07012019,90624.51,,522494.73,2022-12-07
409000493201,BBPS SETMNT FOR DT 100720,182353.53,,523017.52,2023-05-30
409000425051,NEFT/SBIN316329772877/M S,,8000.00,1789580.85,2023-12-12
409000611074,INDO GIBL Indiaforensic STL16011,518375.00,,525570.00,2023-01-15
409000425051,BDP IS 6095,,3000.00,1781580.85,2022-12-27
409000493201,BBPS DT 18092018,6542.73,,531383.45,2022-10-11
409000425051,BDP IS 6095,,5000.00,1778580.85,2023-10-07
409000493201,BBPS DT 01032019,118475.77,,532468.61,2022-05-11
409000493201,BBPS DT 10012019,130922.36,,535341.71,2023-08-11
409000493201,BBPS SETMNT FOR DT 160620,119516.51,,535440.61,2023-01-04
409000425051,BDP IS 6095,,3000.00,1773580.85,2022-10-03
409000611074,INDO GIBL Indiaforensic STL19121,504450.00,,536857.00,2023-01-28
409000611074,INDO GIBL Indiaforensic STL25021,62400.00,,536866.00,2023-08-28
409000493201,TRF TO  Indiaforensic SERVICES I,900000.00,,537926.18,2023-03-20
409000493201,BBPS DT 15012019,216993.16,,537965.50,2023-05-31
409000493201,BBPS SETTLEMENT FOR DT 31,145409.67,,537979.41,2023-02-02
409000493201,BBPS SETTLEMENT 24052017,147938.81,,538230.96,2023-08-11
409000493201,BBPS SETTLEMENT 03042017,348756.64,,539222.77,2022-01-21
409000425051,BDP IS 6095,,5000.00,1770580.85,2022-10-12
409000425051,NEFT/BKIDN16328518534/SHR,,8000.00,1765580.85,2023-06-10
409000425051,BDP IS 6095,,3000.00,1757580.85,2023-04-02
409000425051,BDP IS 6095,,5000.00,1754580.85,2022-05-21
409000425051,NEFT/IBKL161123081134/SAC,,8000.00,1749580.85,2022-01-12
409000493201,BBPS DT 22122018,3261.88,,541331.97,2023-02-20
409000493201,BBPS DT24122018  IMPS GL,99820.78,,541511.19,2023-01-15
409000611074,INDO GIBL Indiaforensic STL14051,823240.00,,541556.00,2023-12-14
409000611074,INDO GIBL Indiaforensic STL18111,115150.00,,541972.00,2022-05-08
409000493201,BBPS SETTLEMENT FOR DT 25,118834.97,,542494.44,2023-01-25
409000493201,BBPS DT 04022019,32352.14,,542805.78,2023-07-04
409000611074,INDO GIBL Indiaforensic STL03121,24500.00,,542909.00,2023-02-22
409000493201,BBPS DT 27022019,135504.16,,542975.94,2023-05-01
409000493201,BBPS SETMNT FOR DT 060720,158111.18,,544537.57,2023-12-07
409000425051,BDP IS 6095,,3000.00,1741580.85,2023-05-21
409000493201,BBPS DT 23122018,182440.81,,544593.85,2022-08-01
409000493201,REV BBPS OX01 SETTLEMENT,,47216.93,545034.31,2023-08-12
409000611074,INDO GIBL Indiaforensic STL17081,615328.00,,545602.00,2023-10-15
409000425051,BDP IS 6095,,5000.00,1738580.85,2022-12-05
409000611074,INDO GIBL Indiaforensic STL04111,129000.00,,548210.00,2022-09-02
409000425051,BDP IS 6095,,2994.00,1733580.85,2022-05-06
409000425051,BDP IS 6095,,6.00,1730586.85,2023-04-13
409000493201,BBPS SETTLEMENT FOR DT 08,76276.17,,550460.67,2022-12-30
409000425051,BDP IS 6095,,5000.00,1730580.85,2022-10-02
409000611074,INDO GIBL Indiaforensic STL13111,143850.00,,551326.00,2022-07-27
409000425051,BDP IS 6095,,3000.00,1725580.85,2022-02-08
409000493201,BBPS SETTLEMENT 12052017,93913.00,,554399.42,2023-08-04
409000493201,BBPS DT 14012019,78829.57,,554958.66,2023-05-25
409000493201,BBPS SETTLEMENT 06032017,68860.48,,555518.15,2023-04-20
409000425051,BDP IS 6095,,5000.00,1722580.85,2022-02-14
409000493201,BBPS SETTLEMENT DATED 12.,856588.64,,555664.08,2022-02-22
409000493201,BBPS  DT 29092018,127682.12,,556382.44,2022-06-12
409000493201,BBPS SETTLEMENT 09052017,92354.75,,558105.92,2022-03-11
409000425051,BDP IS 6095,,3000.00,1717580.85,2022-04-13
409000425051,BDP IS 6095,,5000.00,1714580.85,2022-05-17
409000493201,BBPS SETTLEMENT 22052017,56789.04,,562115.21,2023-04-02
409000493201,BBPS DT 15022019,132416.61,,562790.65,2023-10-30
409000493201,TRF TO  Indiaforensic SERVICES I,500000.00,,562892.03,2023-01-06
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,563186.38,2023-09-17
409000425051,NEFT/SAA209481181/RAJNISH,,11000.00,1714578.60,2023-08-22
409000425051,BDP IS 6095,,3000.00,1709580.85,2022-05-16
409000493201,BBPS DT 31012019,207386.49,,564686.42,2023-02-12
409000493201,BBPS SETTLEMENT FOR DT 06,92843.96,,565639.23,2023-10-29
409000493201,BBPS SETTLEMENT 19052017,83209.48,,566060.76,2023-02-27
409000611074,INDO GIBL Indiaforensic STL08011,674030.00,,566207.00,2022-10-03
409000611074,INDO GIBL Indiaforensic STL08011,170500.00,,566448.00,2022-02-22
409000493201,TRF TO  Indiaforensic SERVICES I,1200000.00,,566628.24,2022-07-18
409000611074,INDO GIBL Indiaforensic STL02121,10000.00,,567409.00,2023-02-20
409000425051,BDP IS 6095,,5000.00,1706580.85,2023-01-06
409000425051,BDP IS 6095,,1000.00,1703578.60,2023-05-16
409000493201,BBPS DT 20022019,145202.42,,569295.80,2022-06-09
409000611074,INDO GIBL Indiaforensic STL09091,61600.00,,569991.00,2022-03-24
409000493201,BBPS DT 01022019,194258.69,,570427.73,2023-09-16
409000493201,BBPS OX01 SETTLEMENT 17.0,102737.16,,571108.68,2022-03-11
409000611074,INDO GIBL Indiaforensic STL09011,495252.00,,571196.00,2023-09-22
409000425051,NEFT/SAA209471183/PRAVEEN,,11000.00,1702578.60,2023-08-20
409000425051,BDP IS 6095,,3000.00,1701580.85,2022-06-27
409000493201,BBPS DT 28122018,200080.84,,575023.81,2023-09-13
409000493201,BBPS DT 27122018,209147.76,,575104.65,2023-07-04
409000493201,BBPS DT 03022019,96122.11,,575157.92,2023-11-04
409000611074,INDO GIBL Indiaforensic STL18041,388550.00,,575759.00,2023-08-21
409000425051,BDP IS 6095,,5000.00,1698580.85,2022-07-20
409000425051,BDP IS 6095,,3000.00,1693580.85,2022-09-09
409000611074,INDO GIBL Indiaforensic STL01121,19800.00,,577409.00,2023-07-02
409000425051,BDP IS 6095,,5000.00,1691578.60,2023-01-13
409000425051,BDP IS 6095,,5000.00,1690580.85,2023-11-10
409000425051,BDP IS 6095,,5000.00,1686578.60,2022-01-13
409000493201,BBPS SETTLEMENT 17052017,106620.67,,580290.64,2022-03-20
409000425051,BDP IS 6095,,3000.00,1685580.85,2022-11-18
409000493201,BBPS DT 09042018,235573.75,,580613.78,2023-05-02
409000611074,INDO GIBL Indiaforensic STL22111,192200.00,,580621.00,2022-11-26
409000493201,BBPS SETTLEMENT 04042017,58178.96,,581043.81,2022-10-10
409000493201,BBPS SETMNT FOR DT 121220,237356.27,,581076.11,2022-10-21
409000493201,BBPS DT 26012019,184208.33,,581757.70,2023-05-14
409000493201,BBPS SETMNT FOR DT 140620,119587.27,,581987.63,2022-03-06
409000493201,BBPS DT 12022019,116967.69,,582595.01,2023-08-16
409000493201,BBPS SETTLEMENT 05052017,54274.88,,583272.03,2023-04-01
409000493201,BBPS SETTLEMENT 30032017,192834.72,,583389.08,2023-12-02
409000493201,TRF TO  Indiaforensic SERVICES I,500000.00,,584064.56,2022-11-15
409000425051,BDP IS 6095,,5000.00,1682580.85,2022-01-28
409000493201,BBPS SETTLEMENT 17032017,117674.17,,584815.11,2022-01-29
409000425051,BDP IS 6095,,1000.00,1681578.60,2022-08-19
409000493201,BBPS SETTLEMENT 16032017,89537.25,,585489.28,2023-11-01
409000425051,NEFT/SBIN716207739939/GOB,,6500.00,1680578.60,2023-04-26
409000493201,BBPS OX01 SETTLEMENT 07.0,77750.54,,587888.69,2022-11-15
409000611074,INDO GIBL Indiaforensic STL29101,364175.00,,588649.00,2022-01-11
409000611074,INDO GIBL Indiaforensic STL29011,207100.00,,589045.00,2022-01-09
409000493201,BBPS DT 21042018,153156.83,,590450.97,2023-03-25
409000493201,BBPS SETMNT FOR DT 180720,252733.40,,590700.19,2023-04-10
409000493201,BBPS DT 13022019,90749.23,,591845.78,2022-10-23
409000425051,BDP IS 6095,,8000.00,1677580.85,2023-06-14
409000425051,BDP IS 6095,,1000.00,1674078.60,2023-04-06
409000425051,BDP IS 6095,,1000.00,1673078.60,2023-11-12
409000611074,INDO GIBL Indiaforensic STL13091,395501.00,,594432.00,2022-05-30
409000493201,BBPS DT 14022019,96638.52,,595207.26,2023-01-25
409000425051,NEFT/SBIN716207563847/Mr,,10000.00,1672078.60,2022-06-16
409000611074,INDO GIBL Indiaforensic STL06121,186400.00,,596759.00,2023-07-25
409000611074,INDO GIBL Indiaforensic STL30111,67850.00,,597209.00,2022-01-22
409000493201,BBPS SETMNT FOR DT 200720,95441.08,,598022.55,2023-08-14
409000493201,TRF TO  Indiaforensic SERVICES I,1000000.00,,599140.72,2023-02-20
409000425051,BDP IS 6095,,3000.00,1669580.85,2022-12-11
409000425051,BDP IS 6095,,5000.00,1666580.85,2022-05-19
409000425051,BDP IS 6095,,4500.00,1662078.60,2023-12-08
409000425051,BDP IS 6095,,3000.00,1661580.85,2023-08-29
409000611074,INDO GIBL Indiaforensic STL24021,70300.00,,599266.00,2023-11-21
409000425051,BDP IS 6095,,5000.00,1658580.85,2022-10-07
409000425051,NEFT/SBIN716207496423/Mr,,10000.00,1657578.60,2022-02-09
409000425051,BDP IS 6095,,3000.00,1653580.85,2022-06-24
409000425051,BDP IS 6095,,5000.00,1650580.85,2022-10-15
409000425051,BDP IS 6095,,1000.00,1647578.60,2023-01-15
409000425051,BDP IS 6095,,1000.00,1646578.60,2022-02-22
409000425051,BDP IS 6095,,1.00,1645580.85,2023-10-21
409000425051,BDP IS 6095,,3000.00,1645579.85,2023-07-17
409000425051,NEFT/CBINH16204A05024/SUN,,12000.00,1645578.60,2023-08-29
409000425051,BDP IS 6095,,5000.00,1642579.85,2023-07-14
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,601574.90,2022-07-27
409000493201,TRF TO  Indiaforensic SERVICES I,1700000.00,,603026.54,2023-08-26
409000611074,INDO GIBL Indiaforensic STL24041,377300.00,,603218.00,2023-02-25
409000425051,BDP IS 6095,,3000.00,1637579.85,2022-07-07
409000493201,BBPS DT 21012019,89496.01,,604324.09,2022-01-14
409000493201,BBPS SETMNT FOR DT 210620,100834.49,,605026.06,2023-12-16
409000611074,INDO GIBL Indiaforensic STL02111,42825.00,,606237.00,2023-01-06
409000493201,BBPS SETTLEMENT 29052017,187145.89,,607682.53,2022-06-03
409000493201,BBPS SETTLEMENT 15032017,83102.87,,608026.53,2023-09-10
409000611074,INDO GIBL Indiaforensic STL16021,710800.00,,608219.00,2023-08-15
409000493201,BBPS OX01 SETTLEMENT 05.0,72560.62,,608483.19,2023-06-25
409000493201,BBPS DT 05012019,125569.82,,609771.89,2022-01-30
409000611074,INDO GIBL Indiaforensic STL24101,369803.00,,610133.00,2022-01-23
409000425051,BDP IS 6095,,5000.00,1634579.85,2023-01-17
409000493201,BBPS DT 06012019,146158.69,,613119.24,2022-04-27
409000493201,BBPS XO01 SETTLEMENT 24.0,81047.31,,614189.99,2022-02-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,614498.22,2022-02-23
409000425051,NEFT/SBIN616204824059/Mr,,20000.00,1633578.60,2022-07-05
409000425051,BDP IS 6095,,3000.00,1629579.85,2022-09-07
409000493201,BBPS DT 09032018,205372.21,,615809.36,2022-11-24
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,616060.76,2022-01-09
409000611074,INDO GIBL Indiaforensic STL13031,556224.00,,616320.00,2023-12-14
409000425051,BDP IS 6095,,5000.00,1626579.85,2022-04-18
409000493201,TRF TO  Indiaforensic SERVICES I,2000000.00,,617035.75,2023-03-18
409000493201,BBPS SETMNT FOR DT 211220,256321.71,,617143.85,2022-06-27
409000611074,INDO GIBL Indiaforensic STL07031,371900.00,,617617.00,2023-04-21
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,618904.25,2022-10-28
409000425051,BDP IS 6095,,8000.00,1621579.85,2023-08-11
409000493201,BBPS DT 08012019,200263.25,,622231.48,2022-01-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,622494.73,2023-04-30
409000493201,BBPS DT 08022019,149942.60,,623763.43,2022-10-26
409000493201,TRF TO  Indiaforensic SERVICES I,1700000.00,,624039.28,2023-11-24
409000493201,BBPS SETTLEMENT 04032017,12695.55,,624378.63,2023-09-27
409000425051,BDP IS 6095,,1.00,1613579.85,2023-06-09
409000425051,NEFT/BARBH16327549610/RAJ,,8000.00,1613578.85,2022-06-11
409000493201,BBPS SETTLEMENT 06052017,56535.19,,626736.84,2023-09-09
409000425051,NEFT/BKIDN16203950524/YUG,,20000.00,1613578.60,2022-08-07
409000493201,BBPS DT 12032018,587655.98,,628153.38,2023-07-02
409000493201,BBPS SETMNT FOR DT 021220,100187.20,,629969.12,2022-04-01
409000611074,Indfor INCOME INDO REMI09091,360.00,,631591.00,2022-07-06
409000611074,INDO GIBL Indiaforensic STL20041,167591.00,,631868.00,2022-04-04
409000611074,INDO GIBL Indiaforensic STL08091,274751.00,,631951.00,2022-04-16
409000611074,INDO GIBL Indiaforensic STL21031,292175.00,,633609.00,2023-03-04
409000493201,BBPS DT 13012019,89563.51,,633788.23,2022-04-25
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,635341.71,2022-12-20
409000611074,INDO GIBL Indiaforensic STL27121,383110.00,,635372.00,2023-05-09
409000425051,IB:  OFT TO XX5051 INTERN,,8000.00,1605578.85,2023-10-11
409000425051,BDP IS 6095,,3000.00,1597578.85,2022-11-10
409000425051,BDP IS 6095,,5000.00,1594578.85,2022-04-07
409000425051,BDP IS 6095,,2000.00,1593578.60,2023-12-13
409000493201,BBPS SETMNT FOR DT 170620,98749.92,,636690.69,2023-03-12
409000493201,BBPS SETTLEMENT FOR DT 03,8082.01,,637074.18,2023-06-01
409000493201,BBPS SETTLEMENT 04052017,44830.92,,637546.91,2023-10-13
409000493201,TRF FRM  Indiaforensic SERVICES,,50000.00,637888.69,2022-06-05
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,638355.00,2022-06-17
409000493201,TRF FRM  Indiaforensic SERVICES,,100000.00,639222.77,2022-07-14
409000493201,BBPS DT 22012019,264718.05,,639606.04,2023-07-12
409000425051,NEFT/CBINH16203A02342/PRA,,1000.00,1591578.60,2023-06-29
409000493201,TRF TO  Indiaforensic SERVICES I,500000.00,,640784.03,2023-03-10
409000493201,BBPS OX01 SETTLEMENT 1803,93646.00,,641169.11,2023-05-22
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,641331.97,2022-08-28
409000425051,BDP IS 6095,,5000.00,1590578.60,2023-06-13
409000425051,BDP IS 6095,,3000.00,1589578.85,2023-08-25
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,642805.78,2023-05-11
409000611074,INDO GIBL Indiaforensic STL30121,54250.00,,643573.00,2022-07-23
409000425051,BDP IS 6095,,5000.00,1586578.85,2023-12-28
409000493201,TRF TO  Indiaforensic SERVICES I,800000.00,,644015.65,2022-02-28
409000493201,BBPS SETTLEMENT 26032017,169846.16,,644343.83,2022-03-16
409000611074,INDO GIBL Indiaforensic STL15101,780576.00,,644356.00,2023-04-04
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,645034.31,2023-06-04
409000493201,BBPS DT 06022019,216238.51,,645124.18,2022-12-06
409000493201,BBPS SETTLEMENT FOR DT 02,21616.66,,645156.19,2022-05-30
409000493201,BBPS DT 16012019,191929.33,,646036.17,2023-09-12
409000611074,INDO GIBL Indiaforensic STL13011,50000.00,,647105.00,2023-11-04
409000425051,NEFT/N203160171249493/UJA,,12000.00,1585578.60,2022-01-26
409000493201,BBPS SETTLEMENT 11052017,53444.53,,648312.42,2022-07-01
409000425051,NEFT/MAHBH16327500557/SAI,,8000.00,1581578.85,2023-04-15
409000425051,BDP IS 6095,,3000.00,1573578.85,2023-04-15
409000611074,INDO GIBL Indiaforensic STL22081,335601.00,,648790.00,2022-05-08
409000611074,INDO GIBL Indiaforensic STL01111,46250.00,,649062.00,2022-11-03
409000493201,BBPS SETTLEMENT 18052017,131020.40,,649270.24,2023-10-15
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,650460.67,2023-02-08
409000493201,TRF TO  Indiaforensic SERVICES I,1000000.00,,650463.52,2022-11-17
409000493201,BBPS DT 28022019,92031.56,,650944.38,2022-10-17
409000611074,INDO GIBL Indiaforensic STL09071,809926.00,,651608.00,2023-03-24
409000425051,BDP IS 6095,,1000.00,1573578.60,2023-11-14
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,654399.42,2023-08-03
409000493201,BBPS SETMNT FOR DT 150620,227030.51,,654957.12,2022-08-29
409000493201,TRF TO  Indiaforensic SERVICES I,400000.00,,655156.36,2023-06-02
409000611074,INDO GIBL Indiaforensic STL17111,284953.00,,657122.00,2023-08-18
409000425051,BDP IS 6095,,5000.00,1572578.60,2023-10-29
409000493201,TRF FRM  Indiaforensic SERVICES,,50000.00,658483.19,2023-12-06
409000493201,BBPS SETMNT FOR DT 240820,238134.06,,658543.43,2023-03-02
409000425051,BDP IS 6095,,5000.00,1570578.85,2023-08-22
409000493201,BBPS DT 25022019,19145.05,,659146.87,2023-10-25
409000425051,BDP IS 6095,,5000.00,1567578.60,2022-02-22
409000425051,BDP IS 6095,,3000.00,1565578.85,2022-10-20
409000493201,BBPS DT 31122018,50376.69,,660326.92,2022-07-16
409000611074,INDO GIBL Indiaforensic STL12111,354000.00,,660679.00,2022-09-02
409000493201,BBPS DT 02012019,38298.74,,661062.91,2022-08-03
409000493201,BBPS SETTLMENT OX01 24.04,89131.66,,661329.41,2022-02-05
409000493201,BBPS DT 05022019,181443.09,,661362.69,2022-08-14
409000493201,BBPS SETMNT FOR DT 190620,175151.51,,661539.18,2023-07-06
409000493201,BBPS SETMNT FOR DT 080620,92193.60,,662252.72,2022-06-21
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,662790.65,2023-05-05
409000493201,BBPS SETMNT FOR DT 150920,135500.36,,663941.59,2023-07-10
409000611074,INDO GIBL Indiaforensic STL08051,290350.00,,664320.00,2023-10-10
409000611074,INDO GIBL Indiaforensic STL29111,36961.00,,665059.00,2022-09-09
409000425051,BDP IS 6095,,5000.00,1562578.85,2023-02-11
409000493201,TRF FRM  Indiaforensic SERVICES,,100000.00,665639.23,2022-03-25
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,666264.07,2023-10-07
409000493201,BBPS DT 03012019,94509.56,,666553.35,2022-05-29
409000493201,BBPS SETTLEMENT FOR DT 01,20337.85,,666772.85,2022-04-02
409000425051,BDP IS 6095,,5000.00,1562578.60,2023-11-27
409000493201,BBPS SETMNT FOR DT 131020,176862.77,,667377.90,2023-03-24
409000425051,NEFT/SBIN216327754744/Mr,,8000.00,1557578.85,2022-01-12
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,668634.00,2022-12-26
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,669295.80,2023-05-05
409000493201,BBPS SETMNT FOR DT 170820,284668.24,,669322.53,2023-01-04
409000611074,INDO GIBL Indiaforensic STL23021,277753.00,,669566.00,2022-08-23
409000425051,BDP IS 6095,,5000.00,1557578.60,2022-02-23
409000425051,BDP IS 6095,,1.00,1552578.60,2023-04-27
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,670348.21,2023-06-29
409000425051,NEFT/CBINH16201130367/Mr.,,12000.00,1552577.60,2023-01-28
409000425051,BDP IS 6095,,3000.00,1549578.85,2022-05-06
409000493201,BBPS DT 02022019,99147.70,,671280.03,2022-06-19
409000425051,BDP IS 6095,,3000.00,1546578.85,2023-11-13
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,672072.91,2022-03-13
409000425051,BDP IS 6095,,5000.00,1543578.85,2022-02-28
409000611074,INDO GIBL Indiaforensic STL02011,323500.00,,672573.00,2023-10-21
409000425051,NEFT/SBIN516201283749/Mr,,12000.00,1540577.60,2022-06-17
409000425051,BDP IS 6095,,5000.00,1538578.85,2022-07-11
409000493201,BBPS SETTLEMENT FOR DT 15,103667.55,,673845.84,2022-09-28
409000425051,BDP IS 6095,,3000.00,1533578.85,2022-11-17
409000425051,BDP IS 6095,,5000.00,1530578.85,2023-05-09
409000493201,TRF FROM  Indiaforensic SERVICES,,67000.00,675026.53,2022-03-07
409000425051,NEFT/SBIN516201186588/M S,,20000.00,1528577.60,2022-04-24
409000611074,Indfor INCOME INDO REMI04111,840.00,,677210.00,2022-05-31
409000493201,BBPS DT 30042018,57084.32,,677539.08,2022-05-28
409000493201,BBPS SETMNT FOR DT 220620,127130.39,,677895.67,2022-09-09
409000611074,INDO GIBL Indiaforensic STL03111,323726.00,,678050.00,2023-08-08
409000493201,BBPS DT 24022019,78877.02,,678291.92,2023-05-20
409000493201,BBPS TDS @2% OCT 18 VIJAY,2.70,,678480.10,2023-11-20
409000493201,BBPS DT 26022019,80664.07,,678482.80,2022-04-24
